fdc_id,brand_owner,gtin_upc,ingredients,serving_size,serving_size_unit,branded_food_category,data_source,modified_date,available_date,market_country
1109531,"The Hain Celestial Group, Inc.",15839008233,"ORGANIC BLUE CORN, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, SEASONING (TOMATO POWDER, RICE FLOUR, SALT, SPICES, PAPRIKA [COLOR], ONION, TORULA YEAST, NATURAL SMOKE FLAVOR).",28.0,g,"Chips, Pretzels & Snacks",LI,2020-04-08,2020-11-13,United States
1109532,The Kroger Co.,11110857378,"ORGANIC GREEN PEAS, WATER, ORGANIC RAW CANE SUGAR, SEA SALT.",125.0,g,Canned Vegetables,LI,2020-04-08,2020-11-13,United States
1109533,"Whole Foods Market, Inc.",99482431037,ORGANIC STEEL CUT OATS.,40.0,g,Cereal,LI,2020-04-08,2020-11-13,United States
1109534,"The Hain Celestial Group, Inc.",15839008257,"ORGANIC YELLOW CORN, EXPELLER PRESSED CANOLA OIL AND/OR SAFFLOWER OIL AND/OR SUNFLOWER OIL, SEA SALT.",28.0,g,"Chips, Pretzels & Snacks",LI,2020-04-08,2020-11-13,United States
1109535,"The Hain Celestial Group, Inc.",15839022192,"ORGANIC WHITE CORN, ORGANIC EXPELLER PRESSED SAFFLOWER OIL AND/OR SUNFLOWER OIL, SEA SALT.",28.0,g,"Chips, Pretzels & Snacks",LI,2020-04-08,2020-11-13,United States
