id,ingredients_normalized
551171,"[""potato"", ""onion"", ""vinegar"", ""chive"", ""olive oil"", ""sugar"", ""salt"", ""pepper""]"
551172,"[""rotini"", ""salad mix"", ""italian dressing"", ""cucumber"", ""tomato"", ""bell pepper"", ""onion"", ""olive""]"
551173,"[""yam"", ""egg"", ""onion"", ""tomato"", ""green chile"", ""bread crumb"", ""peanut oil"", ""cayenne pepper"", ""salt"", ""pepper""]"
551174,"[""pork chop"", ""apple"", ""brown sugar"", ""cinnamon"", ""flour"", ""salt"", ""pepper""]"
551175,"[""linguini"", ""oil"", ""peanut butter"", ""chili powder"", ""tabasco sauce"", ""garlic"", ""soy sauce"", ""ginger"", ""salt"", ""sugar"", ""sesame seed""]"
